Abricate_accession	Abricate_gene	gene family	product name	class	subclass	refseq protein	refseq nucleotide
A7J11_04690	aadA10	aadA10	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846327.1	NG_052411.1
A7J11_04238	aadA10	aadA10	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342359.1	NG_051878.1
A7J11_00327	aadA11	aadA11	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	AMINOGLYCOSIDE	STREPTOMYCIN	WP_048608579.1	NG_047330.1
A7J11_01809	aadA11	aadA11	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840415.1	NG_047332.1
A7J11_04675	aadA11	aadA11	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846267.1	NG_052308.1
A7J11_01164	aadA11	aadA11	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032495379.1	NG_047331.1
A7J11_04233	aadA11	aadA11	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	AMINOGLYCOSIDE	STREPTOMYCIN	WP_011600630.1	NG_051873.1
A7J11_01432	aadA12	aadA12	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	AMINOGLYCOSIDE	STREPTOMYCIN	WP_031306504.1	NG_047333.1
A7J11_04676	aadA12	aadA12	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846268.1	NG_052309.1
A7J11_01431	aadA13	aadA13	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13	AMINOGLYCOSIDE	STREPTOMYCIN	WP_001424636.1	NG_047334.1
A7J11_04677	aadA13	aadA13	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846269.1	NG_052310.1
A7J11_02155	aadA13	aadA13	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13	AMINOGLYCOSIDE	STREPTOMYCIN	WP_012414180.1	NG_047335.1
A7J11_01741	aadA15	aadA15	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15	AMINOGLYCOSIDE	STREPTOMYCIN	WP_025672409.1	NG_047338.1
A7J11_04251	aadA15	aadA15	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342366.1	NG_051891.1
A7J11_04580	aadA15	aadA15	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846190.1	NG_052144.1
A7J11_02163	aadA16	aadA16	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16	AMINOGLYCOSIDE	STREPTOMYCIN	WP_001749984.1	NG_047339.1
A7J11_02185	aadA16	aadA16	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032492255.1	NG_047340.1
A7J11_04820	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_048207712.1	NG_052537.1
A7J11_04415	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846218.1	NG_052228.1
A7J11_04419	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846222.1	NG_052232.1
A7J11_04206	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_001261740.1	NG_051846.1
A7J11_04208	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342357.1	NG_051848.1
A7J11_04428	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846229.1	NG_052241.1
A7J11_04430	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846231.1	NG_052243.1
A7J11_04431	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846232.1	NG_052244.1
A7J11_04433	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846234.1	NG_052246.1
A7J11_04435	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846236.1	NG_052248.1
A7J11_04436	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846237.1	NG_052249.1
A7J11_04442	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032490336.1	NG_052315.1
A7J11_04443	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846273.1	NG_052316.1
A7J11_04446	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846274.1	NG_052319.1
A7J11_04466	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846337.1	NG_052430.1
A7J11_04478	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846345.1	NG_052442.1
A7J11_04494	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032491964.1	NG_052487.1
A7J11_04511	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846386.1	NG_052521.1
A7J11_04534	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846248.1	NG_052273.1
A7J11_04550	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846308.1	NG_052375.1
A7J11_04551	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846309.1	NG_052376.1
A7J11_04322	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071593216.1	NG_052038.1
A7J11_04564	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846367.1	NG_052494.1
A7J11_04592	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846198.1	NG_052156.1
A7J11_00221	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_001206356.1	NG_047343.1
A7J11_04681	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846319.1	NG_052402.1
A7J11_04290	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071593219.1	NG_052041.1
A7J11_04266	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342372.1	NG_051906.1
A7J11_04451	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_011222095.1	NG_052324.1
A7J11_04530	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846246.1	NG_052269.1
A7J11_04566	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846369.1	NG_052496.1
A7J11_04567	aadA2	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846370.1	NG_052497.1
A7J11_00502	aadA21	aadA21	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA21	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840435.1	NG_047344.1
A7J11_01863	aadA21	aadA21	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA21	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840436.1	NG_047345.1
A7J11_02298	aadA22	aadA22	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22	AMINOGLYCOSIDE	STREPTOMYCIN	WP_024198294.1	NG_047348.1
A7J11_04683	aadA22	aadA22	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846321.1	NG_052404.1
A7J11_01323	aadA22	aadA22	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032491824.1	NG_047346.1
A7J11_04815	aadA25	aadA25	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25	AMINOGLYCOSIDE	STREPTOMYCIN	WP_024131607.1	NG_052538.1
A7J11_04444	aadA25	aadA25	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25	AMINOGLYCOSIDE	STREPTOMYCIN	WP_011113049.1	NG_052317.1
A7J11_02654	aadA25	aadA25	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25	AMINOGLYCOSIDE	STREPTOMYCIN	WP_014325834.1	NG_047352.1
A7J11_04976	aadA27	aadA27	ANT(3'')-II family aminoglycoside nucleotidyltransferase AadA27	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	WP_050041693.1	NG_054660.1
A7J11_00640	aadA3	aadA3	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840441.1	NG_047353.1
A7J11_04479	aadA3	aadA3	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846346.1	NG_052443.1
A7J11_04497	aadA3	aadA3	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846364.1	NG_052490.1
A7J11_01746	aadA3	aadA3	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840442.1	NG_047354.1
A7J11_04723	aadA3	aadA3	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846278.1	NG_052325.1
A7J11_05463	aadA31	aadA31	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA31	AMINOGLYCOSIDE	STREPTOMYCIN	WP_031192893.1	NG_057462.1
A7J11_05728	aadA31	aadA31	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA31	AMINOGLYCOSIDE	STREPTOMYCIN	WP_094963248.1	NG_059333.1
A7J11_00217	aadA4	aadA4	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840444.1	NG_047356.1
A7J11_04548	aadA4	aadA4	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4	AMINOGLYCOSIDE	STREPTOMYCIN	WP_004356282.1	NG_052359.1
A7J11_00031	aadA4	aadA4	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840443.1	NG_047355.1
A7J11_00675	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_000503573.1	NG_047357.1
A7J11_04440	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032490444.1	NG_052253.1
A7J11_04481	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846355.1	NG_052474.1
A7J11_04482	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_060512885.1	NG_052475.1
A7J11_04483	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846356.1	NG_052476.1
A7J11_04528	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846244.1	NG_052267.1
A7J11_00434	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_000503574.1	NG_047358.1
A7J11_04246	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342362.1	NG_051886.1
A7J11_04254	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342369.1	NG_051894.1
A7J11_04584	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846192.1	NG_052148.1
A7J11_04590	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846196.1	NG_052154.1
A7J11_04595	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846251.1	NG_052277.1
A7J11_04263	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342371.1	NG_051903.1
A7J11_04663	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846257.1	NG_052296.1
A7J11_04731	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846286.1	NG_052333.1
A7J11_04732	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846287.1	NG_052334.1
A7J11_04454	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846302.1	NG_052362.1
A7J11_04472	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_011342946.1	NG_052436.1
A7J11_04503	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846379.1	NG_052513.1
A7J11_04505	aadA5	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846381.1	NG_052515.1
A7J11_04817	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_044067522.1	NG_052539.1
A7J11_02517	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840454.1	NG_047361.1
A7J11_04544	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846297.1	NG_052355.1
A7J11_04545	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846298.1	NG_052356.1
A7J11_00356	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_022675713.1	NG_047359.1
A7J11_04490	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846362.1	NG_052483.1
A7J11_04587	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846194.1	NG_052151.1
A7J11_01740	aadA6	aadA6	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6	AMINOGLYCOSIDE	STREPTOMYCIN	WP_021529708.1	NG_047360.1
A7J11_00745	aadA7	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	AMINOGLYCOSIDE	STREPTOMYCIN	WP_001436322.1	NG_047362.1
A7J11_04205	aadA7	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	AMINOGLYCOSIDE	STREPTOMYCIN	WP_070342356.1	NG_051845.1
A7J11_01790	aadA7	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840456.1	NG_047364.1
A7J11_01396	aadA7	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	AMINOGLYCOSIDE	STREPTOMYCIN	WP_010794258.1	NG_047365.1
A7J11_04689	aadA7	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846326.1	NG_052410.1
A7J11_01246	aadA7	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840455.1	NG_047363.1
A7J11_00085	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840457.1	NG_047366.1
A7J11_00964	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_032491464.1	NG_047367.1
A7J11_04684	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846322.1	NG_052405.1
A7J11_04685	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846323.1	NG_052406.1
A7J11_04686	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846324.1	NG_052407.1
A7J11_04687	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846325.1	NG_052408.1
A7J11_01466	aadA8	aadA8	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063857693.1	NG_048579.1
A7J11_04477	aadA9	aadA9	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846344.1	NG_052441.1
A7J11_01808	aadA9	aadA9	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840458.1	NG_047369.1
A7J11_02256	aadA9	aadA9	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9	AMINOGLYCOSIDE	STREPTOMYCIN	WP_063840459.1	NG_047370.1
A7J11_04691	aadA9	aadA9	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9	AMINOGLYCOSIDE	STREPTOMYCIN	WP_071846328.1	NG_052412.1
A7J11_01111	aadA9	aadA9	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9	AMINOGLYCOSIDE	STREPTOMYCIN	WP_010991842.1	NG_047368.1
A7J11_00342	aadD1	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_001014230.1	NG_047373.1
A7J11_00054	aadD1	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_032542910.1	NG_047372.1
A7J11_00008	aadD1	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_001795128.1	NG_047375.1
A7J11_00624	aadD1	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_063840460.1	NG_047374.1
A7J11_01229	aadD1	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_063840461.1	NG_047376.1
A7J11_05311	aadD1	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	WP_032488330.1	NG_056101.1
A7J11_00171	aadD2	aadD2	aminoglycoside O-nucleotidyltransferase ANT(4')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	WP_035202393.1	NG_047392.1
A7J11_01472	aadE	aadE	aminoglycoside 6-adenylyltransferase AadE	AMINOGLYCOSIDE	STREPTOMYCIN	WP_001255868.1	NG_047378.1
A7J11_04981	aadE-Cc	aadE-Cc	aminoglycoside 6-adenylyltransferase AadE-Cc	AMINOGLYCOSIDE	STREPTOMYCIN	WP_002785795.1	NG_054665.1
A7J11_00188	aadK	aadK	aminoglycoside 6-adenylyltransferase AadK	AMINOGLYCOSIDE	STREPTOMYCIN	WP_003229862.1	NG_047379.1
A7J11_00761	aadS	aadS	aminoglycoside 6-adenylyltransferase AadS	AMINOGLYCOSIDE	STREPTOMYCIN	WP_003013318.1	NG_047380.1
A7J11_00506	ampC	ampC	FOX/MOX family class C beta-lactamase	BETA-LACTAM	BETA-LACTAM	WP_063840463.1	NG_047381.1
A7J11_03751	ampC	ampC	CMY2/MIR/ACT/EC family class c beta-lactamase	BETA-LACTAM	BETA-LACTAM	WP_063406924.1	NG_051160.1
A7J11_00082	ampC	ampC	CMY2/MIR/ACT/EC family class c beta-lactamase	BETA-LACTAM	BETA-LACTAM	WP_006178946.1	NG_047383.1
A7J11_01580	ampC	ampC	class C beta-lactamase	BETA-LACTAM	BETA-LACTAM	WP_063840466.1	NG_047385.1
A7J11_01906	ampC	ampC	class C beta-lactamase	BETA-LACTAM	BETA-LACTAM	WP_041692555.1	NG_047492.1
A7J11_05113	ampC	ampC	class C beta-lactamase	BETA-LACTAM	BETA-LACTAM	WP_057991970.1	NG_055474.1
A7J11_04818	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_042852798.1	NG_052540.1
A7J11_04565	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846368.1	NG_052495.1
A7J11_00447	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_000381802.1	NG_047387.1
A7J11_04429	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846230.1	NG_052242.1
A7J11_04438	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846238.1	NG_052251.1
A7J11_00210	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_032490446.1	NG_047388.1
A7J11_04459	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846303.1	NG_052367.1
A7J11_04461	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846305.1	NG_052369.1
A7J11_04468	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_000381803.1	NG_052432.1
A7J11_04473	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846341.1	NG_052437.1
A7J11_04487	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846360.1	NG_052480.1
A7J11_02432	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_063840507.1	NG_047389.1
A7J11_04557	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846312.1	NG_052382.1
A7J11_04558	ant(2'')-Ia	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	WP_071846313.1	NG_052383.1
